epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2108,0.88819,3.26974,1.09443,0.00569,1,0.59768,0.42674,1.05525,3.17975,0.97282,0.00013336,0.00013336,0.00013336
2,54.501,0.89084,1.93363,1.06854,0.00551,1,0.95234,0.72487,0.98595,2.75337,0.91817,0.000269362,0.000269362,0.000269362
3,83.8605,0.79125,1.47847,0.98556,0.18331,1,0.98439,0.74083,1.00257,2.68123,0.96003,0.000390511,0.000390511,0.000390511
4,113.281,0.87761,1.39494,1.01938,1,0.27001,0.9822,0.79603,0.74775,2.46229,0.86339,0.000496808,0.000496808,0.000496808
5,142.645,0.84377,1.31964,1.01227,1,0.55103,0.99112,0.79257,0.82303,2.33275,0.86867,0.000588251,0.000588251,0.000588251
6,172.357,0.85215,1.26267,1.04097,0.94708,0.82848,0.95062,0.76441,0.76308,2.16656,0.86031,0.000664841,0.000664841,0.000664841
7,201.74,0.87511,1.21672,1.02697,0.89661,0.88323,0.98023,0.76041,0.85218,2.14609,0.9049,0.000726579,0.000726579,0.000726579
8,231.35,0.84373,1.21397,1.03619,0.97791,0.86912,0.96094,0.74901,0.84707,1.85542,0.91758,0.000773463,0.000773463,0.000773463
9,260.584,0.78056,1.14645,0.99535,0.90986,0.84642,0.92145,0.71628,0.78648,1.7523,0.90859,0.000805494,0.000805494,0.000805494
10,290.11,0.84845,1.13893,1.04111,0.79621,0.70675,0.84472,0.65569,0.8493,2.11117,0.94214,0.000822673,0.000822673,0.000822673
11,319.496,0.70479,1.38938,0.96449,0.90861,0.93548,0.9715,0.78481,0.70433,1.59004,0.87654,0.000824998,0.000824998,0.000824998
12,348.06,0.67785,1.27223,0.92219,0.64466,0.84841,0.77662,0.63726,0.7024,1.63937,0.90959,0.000759318,0.000759318,0.000759318
13,373.516,0.63603,1.16065,0.91966,0.81377,0.91537,0.95142,0.78136,0.77708,1.27014,0.91091,0.000676802,0.000676802,0.000676802
14,394.415,0.64713,1.1484,0.90039,0.98481,0.98131,0.995,0.83233,0.65386,1.03874,0.86999,0.000594286,0.000594286,0.000594286
15,417.709,0.58969,1.07888,0.89536,0.98659,1,0.995,0.8453,0.66102,1.01877,0.87614,0.000511769,0.000511769,0.000511769
16,446.472,0.62514,1.07551,0.90065,0.99601,1,0.995,0.85242,0.75206,0.9201,0.9452,0.000429253,0.000429253,0.000429253
17,475.558,0.58833,1.00862,0.90444,0.99645,1,0.995,0.84537,0.76564,0.90473,0.92778,0.000346736,0.000346736,0.000346736
18,501.568,0.5759,0.97867,0.87567,0.99213,1,0.995,0.83981,0.68018,0.83733,0.88523,0.00026422,0.00026422,0.00026422
19,530.277,0.54963,0.96879,0.86445,0.99101,1,0.995,0.86162,0.64289,0.81316,0.87118,0.000181703,0.000181703,0.000181703
20,559.403,0.53678,0.95719,0.86812,0.98808,0.99955,0.995,0.87006,0.65387,0.82202,0.87566,9.91865e-05,9.91865e-05,9.91865e-05
